ID	Entrez GeneID	Symbol	Name
LOC201651	201651	LOC201651	Arylacetamide deacetylase (esterase) pseudogene
LOC202181	202181	LOC202181	SUMO-interacting motifs containing 1 pseudogene
LOC202781	202781	LOC202781	Uncharacterized LOC202781
LOC219347		LOC219347	
LOC219731		LOC219731	
LOC220729	220729	LOC220729	"Succinate dehydrogenase complex, subunit A, flavoprotein (Fp) pseudogene"
LOC220906		LOC220906	
LOC221122	221122	LOC221122	Uncharacterized LOC221122
LOC221442		LOC221442	
LOC253039	253039	LOC253039	Uncharacterized LOC253039
LOC253044	253044	LOC253044	Uncharacterized LOC253044
LOC253573	253573	LOC253573	Uncharacterized LOC253573
LOC253962		LOC253962	
LOC254099	254099	LOC254099	Uncharacterized LOC254099
LOC254100	254100	LOC254100	Uncharacterized LOC254100
LOC254128	254128	LOC254128	Uncharacterized LOC254128
LOC254312		LOC254312	
LOC254559	254559	LOC254559	Uncharacterized LOC254559
LOC254896	254896	LOC254896	Uncharacterized LOC254896
LOC255025	255025	LOC255025	Uncharacterized LOC255025
LOC255130		LOC255130	
LOC255167	255167	LOC255167	Uncharacterized LOC255167
LOC255411	255411	LOC255411	Uncharacterized LOC255411
LOC255480		LOC255480	
LOC255512	255512	LOC255512	Uncharacterized LOC255512
LOC255654	255654	LOC255654	Uncharacterized LOC255654
LOC256021	256021	LOC256021	Uncharacterized LOC256021
LOC256880	256880	LOC256880	Uncharacterized LOC256880
LOC257358	257358	LOC257358	Uncharacterized LOC257358
LOC257396	257396	LOC257396	Uncharacterized LOC257396
LOC282980		LOC282980	
LOC282997		LOC282997	
LOC283033		LOC283033	
LOC283038	283038	LOC283038	Uncharacterized LOC283038
LOC283050		LOC283050	
LOC283070	283070	LOC283070	Uncharacterized LOC283070
LOC283089		LOC283089	
LOC283104		LOC283104	
LOC283116		LOC283116	
LOC283143	283143	LOC283143	Uncharacterized LOC283143
LOC283174	283174	LOC283174	Uncharacterized LOC283174
LOC283177	283177	LOC283177	Uncharacterized LOC283177
LOC283194		LOC283194	
LOC283214	283214	LOC283214	Uncharacterized LOC283214
LOC283299	283299	LOC283299	Uncharacterized LOC283299
LOC283332	283332	LOC283332	Uncharacterized LOC283332
LOC283335	283335	LOC283335	Uncharacterized LOC283335
LOC283392		LOC283392	
LOC283403	283403	LOC283403	Uncharacterized LOC283403
LOC283404		LOC283404	
LOC283440	283440	LOC283440	Uncharacterized LOC283440
LOC283481		LOC283481	
LOC283547		LOC283547	
LOC283553		LOC283553	
LOC283585	283585	LOC283585	Uncharacterized LOC283585
LOC283587	283587	LOC283587	Uncharacterized LOC283587
LOC283624		LOC283624	
LOC283663	283663	LOC283663	Uncharacterized LOC283663
LOC283683	283683	LOC283683	Uncharacterized LOC283683
LOC283688	283688	LOC283688	Uncharacterized LOC283688
LOC283692	283692	LOC283692	Uncharacterized LOC283692
LOC283693	283693	LOC283693	"Actin, alpha 2, smooth muscle, aorta pseudogene"
LOC283710	283710	LOC283710	Uncharacterized LOC283710
LOC283731	283731	LOC283731	Uncharacterized LOC283731
LOC283738		LOC283738	
LOC283761	283761	LOC283761	Uncharacterized LOC283761
LOC283788	283788	LOC283788	FSHD region gene 1 pseudogene
LOC283856	283856	LOC283856	Uncharacterized LOC283856
LOC283867	283867	LOC283867	Uncharacterized LOC283867
LOC283888		LOC283888	
LOC283914	283914	LOC283914	Uncharacterized LOC283914
LOC283922	283922	LOC283922	Pyruvate dehydrogenase phosphatase regulatory subunit pseudogene
LOC284009	284009	LOC284009	Uncharacterized LOC284009
LOC284023	284023	LOC284023	Uncharacterized LOC284023
LOC284080	284080	LOC284080	Uncharacterized LOC284080
LOC284100	284100	LOC284100	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide pseudogene"
LOC284215		LOC284215	
LOC284260	284260	LOC284260	Uncharacterized LOC284260
LOC284276	284276	LOC284276	Uncharacterized LOC284276
LOC284294	284294	LOC284294	Uncharacterized LOC284294
LOC284344	284344	LOC284344	Uncharacterized LOC284344
LOC284379	284379	LOC284379	"Solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 pseudogene"
LOC284385		LOC284385	
LOC284395	284395	LOC284395	Uncharacterized LOC284395
LOC284408		LOC284408	
LOC284412	284412	LOC284412	uncharacterized LOC284412
LOC284440		LOC284440	
LOC284454	284454	LOC284454	Uncharacterized LOC284454
LOC284551	284551	LOC284551	Uncharacterized LOC284551
LOC284576		LOC284576	
LOC284578	284578	LOC284578	Uncharacterized LOC284578
LOC284581	284581	LOC284581	uncharacterized LOC284581
LOC284632	284632	LOC284632	Uncharacterized LOC284632
LOC284648	284648	LOC284648	Uncharacterized LOC284648
LOC284661	284661	LOC284661	Uncharacterized LOC284661
LOC284688	284688	LOC284688	Uncharacterized LOC284688
LOC284751	284751	LOC284751	Uncharacterized LOC284751
LOC284757	284757	LOC284757	Uncharacterized LOC284757
LOC284788	284788	LOC284788	Uncharacterized LOC284788
LOC284798	284798	LOC284798	Uncharacterized LOC284798
LOC284801	284801	LOC284801	Uncharacterized LOC284801
LOC284837	284837	LOC284837	Uncharacterized LOC284837
LOC284865	284865	LOC284865	Uncharacterized LOC284865
LOC284889	284889	LOC284889	Uncharacterized LOC284889
LOC284933	284933	LOC284933	Uncharacterized LOC284933
LOC284950	284950	LOC284950	Uncharacterized LOC284950
LOC284998	284998	LOC284998	Uncharacterized LOC284998
LOC285000	285000	LOC285000	Uncharacterized LOC285000
LOC285033	285033	LOC285033	Uncharacterized LOC285033
LOC285074	285074	LOC285074	Anaphase promoting complex subunit 1 pseudogene
LOC285084	285084	LOC285084	Uncharacterized LOC285084
LOC285103		LOC285103	
LOC285205		LOC285205	
LOC285326		LOC285326	
LOC285359		LOC285359	
LOC285370		LOC285370	
LOC285375		LOC285375	
LOC285401		LOC285401	
LOC285419	285419	LOC285419	Uncharacterized LOC285419
LOC285441	285441	LOC285441	Uncharacterized LOC285441
LOC285456		LOC285456	
LOC285484	285484	LOC285484	Uncharacterized LOC285484
LOC285501	285501	LOC285501	Uncharacterized LOC285501
LOC285540	285540	LOC285540	Uncharacterized LOC285540
LOC285547	285547	LOC285547	Uncharacterized LOC285547
LOC285548	285548	LOC285548	Uncharacterized LOC285548
LOC285577	285577	LOC285577	Uncharacterized LOC285577
LOC285593	285593	LOC285593	Uncharacterized LOC285593
LOC285626	285626	LOC285626	Uncharacterized LOC285626
LOC285627	285627	LOC285627	Uncharacterized LOC285627
LOC285629		LOC285629	
LOC285692	285692	LOC285692	Uncharacterized LOC285692
LOC285696	285696	LOC285696	Uncharacterized LOC285696
LOC285740	285740	LOC285740	Uncharacterized LOC285740
LOC285758	285758	LOC285758	Uncharacterized LOC285758
LOC285762	285762	LOC285762	Uncharacterized LOC285762
LOC285768	285768	LOC285768	Uncharacterized LOC285768
LOC285796		LOC285796	
LOC285819	285819	LOC285819	Uncharacterized LOC285819
LOC285847		LOC285847	
LOC285878		LOC285878	
LOC285889	285889	LOC285889	Uncharacterized LOC285889
LOC285954		LOC285954	
LOC285965		LOC285965	
LOC285972	285972	LOC285972	Uncharacterized LOC285972
LOC286002		LOC286002	
LOC286059	286059	LOC286059	"Tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain pseudogene"
LOC286083	286083	LOC286083	Uncharacterized LOC286083
LOC286094	286094	LOC286094	Uncharacterized LOC286094
LOC286114	286114	LOC286114	Uncharacterized LOC286114
LOC286135	286135	LOC286135	Uncharacterized LOC286135
LOC286177	286177	LOC286177	Uncharacterized LOC286177
LOC286184	286184	LOC286184	Uncharacterized LOC286184
LOC286186	286186	LOC286186	Uncharacterized LOC286186
LOC286189	286189	LOC286189	Uncharacterized LOC286189
LOC286190	286190	LOC286190	Uncharacterized LOC286190
LOC286238	286238	LOC286238	Uncharacterized LOC286238
LOC286297	286297	LOC286297	Uncharacterized LOC286297
LOC286359	286359	LOC286359	Uncharacterized LOC286359
LOC286367	286367	LOC286367	FP944
LOC286370	286370	LOC286370	Uncharacterized LOC286370
LOC286437	286437	LOC286437	Uncharacterized LOC286437
LOC286442	286442	LOC286442	Uncharacterized LOC286442
LOC286467	286467	LOC286467	"Family with sequence similarity 195, member A pseudogene"
LOC338579		LOC338579	
LOC338588		LOC338588	
LOC338651	338651	LOC338651	Uncharacterized LOC338651
LOC338739		LOC338739	
LOC338758	338758	LOC338758	Uncharacterized LOC338758
LOC338799	338799	LOC338799	Uncharacterized LOC338799
LOC338817	338817	LOC338817	Uncharacterized LOC338817
LOC338963	338963	LOC338963	Epididymal protein pseudogene
LOC339166	339166	LOC339166	Uncharacterized LOC339166
LOC339240	339240	LOC339240	Keratin 17 pseudogene
LOC339290		LOC339290	
LOC339298	339298	LOC339298	Uncharacterized LOC339298
LOC339442	339442	LOC339442	Uncharacterized LOC339442
LOC339505	339505	LOC339505	Uncharacterized LOC339505
LOC339524	339524	LOC339524	Uncharacterized LOC339524
LOC339529	339529	LOC339529	Uncharacterized LOC339529
LOC339535	339535	LOC339535	Uncharacterized LOC339535
LOC339568	339568	LOC339568	Uncharacterized LOC339568
LOC339593	339593	LOC339593	Uncharacterized LOC339593
LOC339622	339622	LOC339622	Uncharacterized LOC339622
LOC339666	339666	LOC339666	Uncharacterized LOC339666
LOC339685	339685	LOC339685	Uncharacterized LOC339685
LOC339788	339788	LOC339788	Uncharacterized LOC339788
LOC339803	339803	LOC339803	Uncharacterized LOC339803
LOC339807	339807	LOC339807	Uncharacterized LOC339807
LOC339822	339822	LOC339822	Uncharacterized LOC339822
LOC339862	339862	LOC339862	Uncharacterized LOC339862
LOC339874	339874	LOC339874	Uncharacterized LOC339874
LOC339894	339894	LOC339894	Uncharacterized LOC339894
LOC339926		LOC339926	
LOC339975	339975	LOC339975	Uncharacterized LOC339975
LOC340017	340017	LOC340017	Uncharacterized LOC340017
LOC340037		LOC340037	
LOC340073	340073	LOC340073	Uncharacterized LOC340073
LOC340074	340074	LOC340074	Uncharacterized LOC340074
LOC340094	340094	LOC340094	Uncharacterized LOC340094
LOC340107	340107	LOC340107	Uncharacterized LOC340107
LOC340113	340113	LOC340113	Uncharacterized LOC340113
LOC340357	340357	LOC340357	Uncharacterized LOC340357
LOC340508	340508	LOC340508	Growth arrest-specific 2 like 1 pseudogene
LOC340515	340515	LOC340515	Uncharacterized LOC340515
LOC340544		LOC340544	
LOC341056	341056	LOC341056	SUMO1 activating enzyme subunit 1 pseudogene
LOC344595	344595	LOC344595	Uncharacterized LOC344595
LOC344887	344887	LOC344887	NmrA-like family domain containing 1 pseudogene
LOC344967	344967	LOC344967	Acyl-CoA thioesterase 7 pseudogene
LOC347411		LOC347411	
LOC348120		LOC348120	
LOC348761	348761	LOC348761	Uncharacterized LOC348761
LOC349160	349160	LOC349160	Uncharacterized LOC349160
LOC349196	349196	LOC349196	Uncharacterized LOC349196
LOC374443	374443	LOC374443	"C-type lectin domain family 2, member D pseudogene"
LOC375010		LOC375010	
LOC375190		LOC375190	
LOC375196	375196	LOC375196	Uncharacterized LOC375196
LOC375295	375295	LOC375295	Uncharacterized LOC375295
LOC386597		LOC386597	
LOC386758		LOC386758	
LOC387646		LOC387646	
LOC387647		LOC387647	
LOC387723	387723	LOC387723	Uncharacterized LOC387723
LOC387895	387895	LOC387895	Uncharacterized LOC387895
LOC388152	388152	LOC388152	Uncharacterized LOC388152
LOC388242	388242	LOC388242	Coiled-coil domain containing 101 pseudogene
LOC388276		LOC388276	
LOC388387		LOC388387	
LOC388499	388499	LOC388499	Lysophospholipase II pseudogene
LOC388553	388553	LOC388553	Uncharacterized LOC388553
LOC388588		LOC388588	
LOC388630		LOC388630	
LOC388692	388692	LOC388692	Uncharacterized LOC388692
LOC388796	388796	LOC388796	Uncharacterized LOC388796
LOC388813	388813	LOC388813	Uncharacterized protein ENSP00000383407-like
LOC388849	388849	LOC388849	Uncharacterized LOC388849
LOC388906	388906	LOC388906	Opioid growth factor receptor pseudogene
LOC388942	388942	LOC388942	Uncharacterized LOC388942
LOC388946		LOC388946	
LOC388948	388948	LOC388948	Uncharacterized LOC388948
LOC389023	389023	LOC389023	Uncharacterized LOC389023
LOC389033	389033	LOC389033	Placenta-specific 9 pseudogene
LOC389043	389043	LOC389043	Uncharacterized LOC389043
LOC389247	389247	LOC389247	Uncharacterized LOC389247
LOC389332	389332	LOC389332	Uncharacterized LOC389332
LOC389458	389458	LOC389458	Uncharacterized LOC389458
LOC389493		LOC389493	
LOC389634	389634	LOC389634	Uncharacterized LOC389634
LOC389641	389641	LOC389641	Uncharacterized LOC389641
LOC389705	389705	LOC389705	Chromosome 4 open reading frame 27 pseudogene
LOC389765	389765	LOC389765	Kinesin family member 27 pseudogene
LOC389791	389791	LOC389791	Uncharacterized LOC389791
LOC389831	389831	LOC389831	Uncharacterized LOC389831
LOC389834	389834	LOC389834	Ankyrin repeat domain 57 pseudogene
LOC389906	389906	LOC389906	Zinc finger protein 839 pseudogene
LOC390660	390660	LOC390660	FLJ00317 protein
LOC390705	390705	LOC390705	"Protein phosphatase 2, regulatory subunit B'', beta pseudogene"
LOC390858		LOC390858	
LOC390940		LOC390940	
LOC391322	391322	LOC391322	D-dopachrome tautomerase-like
LOC392196	392196	LOC392196	Ubiquitin specific peptidase 17-like family member 2 pseudogene
LOC392232	392232	LOC392232	"Transient receptor potential cation channel, subfamily A, member 1 pseudogene"
LOC392364	392364	LOC392364	Nuclear pore associated protein 1 pseudogene
LOC399708		LOC399708	
LOC399715	399715	LOC399715	Uncharacterized LOC399715
LOC399744	399744	LOC399744	Uncharacterized LOC399744
LOC399753	399753	LOC399753	Uncharacterized LOC399753
LOC399815	399815	LOC399815	Chromosome 10 open reading frame 88 pseudogene
LOC399829	399829	LOC399829	Uncharacterized LOC399829
LOC399939		LOC399939	
LOC399940		LOC399940	
LOC400027	400027	LOC400027	Uncharacterized LOC400027
LOC400043	400043	LOC400043	Uncharacterized LOC400043
LOC400084	400084	LOC400084	Uncharacterized LOC400084
LOC400236		LOC400236	
LOC400238		LOC400238	
LOC400456	400456	LOC400456	Uncharacterized LOC400456
LOC400548	400548	LOC400548	Uncharacterized LOC400548
LOC400550		LOC400550	
LOC400558	400558	LOC400558	Uncharacterized LOC400558
LOC400604		LOC400604	
LOC400620	400620	LOC400620	Uncharacterized LOC400620
LOC400643		LOC400643	
LOC400654	400654	LOC400654	Uncharacterized LOC400654
LOC400655	400655	LOC400655	Uncharacterized LOC400655
LOC400657	400657	LOC400657	Uncharacterized LOC400657
LOC400680	400680	LOC400680	Uncharacterized LOC400680
LOC400684	400684	LOC400684	Uncharacterized LOC400684
LOC400685	400685	LOC400685	Uncharacterized LOC400685
LOC400752	400752	LOC400752	Uncharacterized LOC400752
LOC400794	400794	LOC400794	Uncharacterized LOC400794
LOC400891	400891	LOC400891	Chromosome 14 open reading frame 166B pseudogene
LOC400927	400927	LOC400927	TPTE and PTEN homologous inositol lipid phosphatase pseudogene
LOC400940	400940	LOC400940	Uncharacterized LOC400940
LOC400958	400958	LOC400958	Uncharacterized LOC400958
LOC401010	401010	LOC401010	Nucleolar complex associated 2 homolog (S. cerevisiae) pseudogene
LOC401052	401052	LOC401052	Uncharacterized LOC401052
LOC401074	401074	LOC401074	Uncharacterized LOC401074
LOC401093		LOC401093	
LOC401109	401109	LOC401109	Uncharacterized LOC401109
LOC401127	401127	LOC401127	WD repeat domain 5 pseudogene
LOC401134	401134	LOC401134	Uncharacterized LOC401134
LOC401164	401164	LOC401164	Uncharacterized LOC401164
LOC401177	401177	LOC401177	Uncharacterized LOC401177
LOC401242	401242	LOC401242	Uncharacterized LOC401242
LOC401320	401320	LOC401320	Uncharacterized LOC401320
LOC401321	401321	LOC401321	Uncharacterized LOC401321
LOC401324	401324	LOC401324	Uncharacterized LOC401324
LOC401397	401397	LOC401397	Uncharacterized LOC401397
LOC401431		LOC401431	
LOC401463	401463	LOC401463	Uncharacterized LOC401463
LOC401497	401497	LOC401497	Uncharacterized LOC401497
LOC401557	401557	LOC401557	Uncharacterized LOC401557
LOC401588		LOC401588	
LOC401980	401980	LOC401980	4933406M09Rik pseudogene
LOC402160	402160	LOC402160	Uncharacterized LOC402160
LOC402779	402779	LOC402779	Uncharacterized LOC402779
LOC407835	407835	LOC407835	Mitogen-activated protein kinase kinase 2 pseudogene
LOC415056	415056	LOC415056	Uncharacterized LOC415056
LOC439949		LOC439949	
LOC439950		LOC439950	
LOC439990		LOC439990	
LOC439994	439994	LOC439994	Uncharacterized LOC439994
LOC440028	440028	LOC440028	Uncharacterized LOC440028
LOC440040	440040	LOC440040	"Glutamate receptor, metabotropic 5 pseudogene"
LOC440041		LOC440041	
LOC440117	440117	LOC440117	Uncharacterized LOC440117
LOC440131		LOC440131	
LOC440173	440173	LOC440173	Uncharacterized LOC440173
LOC440288	440288	LOC440288	Uncharacterized LOC440288
LOC440297		LOC440297	
LOC440300	440300	LOC440300	Chondroitin sulfate proteoglycan 4 pseudogene
LOC440335	440335	LOC440335	Uncharacterized LOC440335
LOC440354	440354	LOC440354	"Smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) pseudogene"
LOC440356	440356	LOC440356	Uncharacterized LOC440356
LOC440434	440434	LOC440434	aminopeptidase puromycin sensitive pseudogene
LOC440461	440461	LOC440461	Rho GTPase activating protein 27 pseudogene
LOC440518	440518	LOC440518	Golgin A2 pseudogene
LOC440563	440563	LOC440563	Heterogeneous nuclear ribonucleoprotein C-like
LOC440600	440600	LOC440600	Uncharacterized LOC440600
LOC440700	440700	LOC440700	Carbonic anhydrase XIV (CA14) pseudogene
LOC440704	440704	LOC440704	Uncharacterized LOC440704
LOC440894	440894	LOC440894	Uncharacterized LOC440894
LOC440895	440895	LOC440895	Two pore channel 3 pseudogene
LOC440896	440896	LOC440896	Uncharacterized LOC440896
LOC440900	440900	LOC440900	Uncharacterized LOC440900
LOC440905	440905	LOC440905	Uncharacterized LOC440905
LOC440910	440910	LOC440910	Uncharacterized LOC440910
LOC440925	440925	LOC440925	Uncharacterized LOC440925
LOC440944		LOC440944	
LOC440970	440970	LOC440970	Uncharacterized LOC440970
LOC441009	441009	LOC441009	Uncharacterized LOC441009
LOC441025	441025	LOC441025	Uncharacterized LOC441025
LOC441177		LOC441177	
LOC441204	441204	LOC441204	Uncharacterized LOC441204
LOC441242	441242	LOC441242	Uncharacterized LOC441242
LOC441454	441454	LOC441454	"Prothymosin, alpha pseudogene"
LOC441455	441455	LOC441455	Makorin ring finger protein 1 pseudogene
LOC441461	441461	LOC441461	Uncharacterized LOC441461
LOC441495		LOC441495	
LOC441601	441601	LOC441601	Septin 7 pseudogene
LOC441666	441666	LOC441666	Zinc finger protein 91 pseudogene
LOC442028	442028	LOC442028	Uncharacterized LOC442028
LOC442132	442132	LOC442132	Golgin A6 family-like 1 pseudogene
LOC442421		LOC442421	
LOC442459		LOC442459	
LOC442497	442497	LOC442497	Uncharacterized LOC442497
LOC493754	493754	LOC493754	RAB guanine nucleotide exchange factor (GEF) 1 pseudogene
LOC494127	494127	LOC494127	NFYC pseudogene
LOC494141	494141	LOC494141	"Solute carrier family 25, member 51 pseudogene"
LOC494558	494558	LOC494558	Uncharacterized LOC494558
LOC503519	503519	LOC503519	Uncharacterized LOC503519
LOC541471	541471	LOC541471	Uncharacterized LOC541471
LOC541473	541473	LOC541473	"FK506 binding protein 6, 36kDa pseudogene"
LOC550112	550112	LOC550112	Uncharacterized LOC550112
LOC550113	550113	LOC550113	uncharacterized LOC550113
LOC550643	550643	LOC550643	Uncharacterized LOC550643
LOC553103	553103	LOC553103	Uncharacterized LOC553103
LOC554201		LOC554201	
LOC554206	554206	LOC554206	Leucine carboxyl methyltransferase 1 pseudogene
LOC554223	554223	LOC554223	Histocompatibility antigen-related
LOC572558		LOC572558	
LOC574538	574538	LOC574538	Uncharacterized LOC574538
LOC595101	595101	LOC595101	"Smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) pseudogene"
LOC606724	606724	LOC606724	"Coronin, actin binding protein, 1A pseudogene"
LOC613037	613037	LOC613037	Nuclear pore complex interacting protein pseudogene
LOC613038	613038	LOC613038	Coiled-coil domain containing 101 pseudogene
LOC619207	619207	LOC619207	Scavenger receptor protein family member
LOC63930	63930	LOC63930	Uncharacterized LOC63930
LOC641298		LOC641298	
LOC641364		LOC641364	
LOC641365		LOC641365	
LOC641367	641367	LOC641367	Cyclin Y-like 1 pseudogene
LOC641515	641515	LOC641515	uncharacterized LOC641515
LOC641518		LOC641518	
LOC641746	641746	LOC641746	Glycine cleavage system protein H (aminomethyl carrier) pseudogene
LOC642236	642236	LOC642236	FSHD region gene 1 pseudogene
LOC642361	642361	LOC642361	Uncharacterized LOC642361
LOC642366	642366	LOC642366	Uncharacterized LOC642366
LOC642426	642426	LOC642426	Uncharacterized LOC642426
LOC642826		LOC642826	
LOC642846	642846	LOC642846	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like
LOC642852	642852	LOC642852	Uncharacterized LOC642852
LOC642929	642929	LOC642929	"General transcription factor II, i pseudogene"
LOC643037	643037	LOC643037	Uncharacterized LOC643037
LOC643201	643201	LOC643201	Centrosomal protein 192kDa pseudogene
LOC643339	643339	LOC643339	Uncharacterized LOC643339
LOC643387	643387	LOC643387	TAR DNA binding protein pseudogene
LOC643401	643401	LOC643401	Uncharacterized LOC643401
LOC643406	643406	LOC643406	Uncharacterized LOC643406
LOC643441	643441	LOC643441	Uncharacterized LOC643441
LOC643486	643486	LOC643486	"Bromodomain, testis-specific pseudogene"
LOC643529		LOC643529	
LOC643542	643542	LOC643542	Uncharacterized LOC643542
LOC643623	643623	LOC643623	Uncharacterized LOC643623
LOC643648	643648	LOC643648	Uncharacterized LOC643648
LOC643650		LOC643650	
LOC643669	643669	LOC643669	Uncharacterized LOC643669
LOC643714	643714	LOC643714	Uncharacterized LOC643714
LOC643723	643723	LOC643723	Uncharacterized LOC643723
LOC643733	643733	LOC643733	"Caspase 4, apoptosis-related cysteine peptidase pseudogene"
LOC643770	643770	LOC643770	Uncharacterized LOC643770
LOC643802	643802	LOC643802	U3 small nucleolar ribonucleoprotein protein MPP10-like
LOC643837	643837	LOC643837	Uncharacterized LOC643837
LOC643923	643923	LOC643923	Uncharacterized LOC643923
LOC643955		LOC643955	
LOC644100		LOC644100	
LOC644145	644145	LOC644145	Exocyst complex component 1 pseudogene
LOC644172	644172	LOC644172	Mitogen-activated protein kinase 8 interacting protein 1 pseudogene
LOC644189	644189	LOC644189	Acyl-CoA thioesterase 4 pseudogene
LOC644242		LOC644242	
LOC644248	644248	LOC644248	Uncharacterized LOC644248
LOC644554	644554	LOC644554	Uncharacterized LOC644554
LOC644649	644649	LOC644649	Apolipoprotein O pseudogene
LOC644656	644656	LOC644656	Uncharacterized LOC644656
LOC644669	644669	LOC644669	ankyrin repeat domain 30B pseudogene
LOC644714		LOC644714	
LOC644838	644838	LOC644838	Uncharacterized LOC644838
LOC644936	644936	LOC644936	"Actin, beta pseudogene"
LOC644961	644961	LOC644961	"Actin, gamma 1 pseudogene"
LOC644990		LOC644990	
LOC645166	645166	LOC645166	Lymphocyte-specific protein 1 pseudogene
LOC645206		LOC645206	
LOC645212	645212	LOC645212	Uncharacterized LOC645212
LOC645249	645249	LOC645249	Uncharacterized LOC645249
LOC645355	645355	LOC645355	Uncharacterized LOC645355
LOC645431		LOC645431	
LOC645434	645434	LOC645434	Uncharacterized LOC645434
LOC645513	645513	LOC645513	Uncharacterized LOC645513
LOC645591		LOC645591	
LOC645638	645638	LOC645638	WDNM1-like pseudogene
LOC645676		LOC645676	
LOC645752	645752	LOC645752	"Golgin A6 family, member A pseudogene"
LOC645949	645949	LOC645949	Uncharacterized LOC645949
LOC646168	646168	LOC646168	Uncharacterized LOC646168
LOC646214	646214	LOC646214	P21 protein (Cdc42/Rac)-activated kinase 2 pseudogene
LOC646268	646268	LOC646268	HCG1654703
LOC646278	646278	LOC646278	Programmed cell death 6 interacting protein pseudogene
LOC646324		LOC646324	
LOC646329	646329	LOC646329	Uncharacterized LOC646329
LOC646471	646471	LOC646471	Uncharacterized LOC646471
LOC646498	646498	LOC646498	Uncharacterized LOC646498
LOC646508		LOC646508	
LOC646576		LOC646576	
LOC646626	646626	LOC646626	Uncharacterized LOC646626
LOC646627		LOC646627	
LOC646719	646719	LOC646719	Uncharacterized LOC646719
LOC646736	646736	LOC646736	Uncharacterized LOC646736
LOC646743	646743	LOC646743	Uncharacterized LOC646743
LOC646762	646762	LOC646762	Uncharacterized LOC646762
LOC646813	646813	LOC646813	DEAH (Asp-Glu-Ala-His) box polypeptide 9 pseudogene
LOC646851		LOC646851	
LOC646862	646862	LOC646862	Uncharacterized LOC646862
LOC646903	646903	LOC646903	Uncharacterized LOC646903
LOC646938	646938	LOC646938	"TBC1 domain family, member 2B pseudogene"
LOC646999	646999	LOC646999	Akirin 1 pseudogene
LOC647012		LOC647012	
LOC647107		LOC647107	
LOC647323	647323	LOC647323	Uncharacterized LOC647323
LOC647589		LOC647589	
LOC647859	647859	LOC647859	Occludin pseudogene
LOC647946		LOC647946	
LOC647979		LOC647979	
LOC648691	648691	LOC648691	Uncharacterized LOC648691
LOC648740		LOC648740	
LOC648809		LOC648809	
LOC648987	648987	LOC648987	Uncharacterized LOC648987
LOC649133	649133	LOC649133	Uncharacterized LOC649133
LOC649330	649330	LOC649330	heterogeneous nuclear ribonucleoprotein C-like
LOC649395	649395	LOC649395	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide pseudogene"
LOC650226	650226	LOC650226	Ankyrin repeat domain 26 pseudogene
LOC650293	650293	LOC650293	Seven transmembrane helix receptor
LOC650368	650368	LOC650368	Asparagine-linked glycosylation 1-like pseudogene
LOC650623		LOC650623	
LOC652276	652276	LOC652276	Potassium channel tetramerisation domain containing 5 pseudogene
LOC653061		LOC653061	
LOC653075		LOC653075	
LOC653160	653160	LOC653160	Uncharacterized LOC653160
LOC653486	653486	LOC653486	"secretoglobin, family 1C, member 1-like"
LOC653501	653501	LOC653501	Zinc finger protein 658 pseudogene
LOC653513	653513	LOC653513	Phosphodiesterase 4D interacting protein pseudogene
LOC653566		LOC653566	
LOC653653	653653	LOC653653	"Adaptor-related protein complex 1, sigma 2 subunit pseudogene"
LOC653712	653712	LOC653712	Intraflagellar transport 122 homolog (Chlamydomonas) pseudogene
LOC653786	653786	LOC653786	Otoancorin pseudogene
LOC654342	654342	LOC654342	Lymphocyte-specific protein 1 pseudogene
LOC654433	654433	LOC654433	Uncharacterized LOC654433
LOC678655		LOC678655	
LOC723809		LOC723809	
LOC727677	727677	LOC727677	Uncharacterized LOC727677
LOC727710	727710	LOC727710	Uncharacterized LOC727710
LOC727849	727849	LOC727849	Golgin A2 pseudogene
LOC727896	727896	LOC727896	Cysteine and histidine-rich domain (CHORD) containing 1 pseudogene
LOC727915	727915	LOC727915	Uncharacterized LOC727915
LOC727924		LOC727924	
LOC727982	727982	LOC727982	Uncharacterized LOC727982
LOC728012	728012	LOC728012	Uncharacterized LOC728012
LOC728024	728024	LOC728024	Chromosome X open reading frame 56 pseudogene
LOC728040	728040	LOC728040	HCG1813624
LOC728066		LOC728066	
LOC728084	728084	LOC728084	Uncharacterized LOC728084
LOC728175	728175	LOC728175	Uncharacterized LOC728175
LOC728190		LOC728190	
LOC728218		LOC728218	
LOC728228	728228	LOC728228	Uncharacterized LOC728228
LOC728323	728323	LOC728323	Uncharacterized LOC728323
LOC728342	728342	LOC728342	Uncharacterized LOC728342
LOC728369		LOC728369	
LOC728373		LOC728373	
LOC728377	728377	LOC728377	Rho guanine nucleotide exchange factor (GEF) 5 pseudogene
LOC728379		LOC728379	
LOC728392	728392	LOC728392	Uncharacterized LOC728392
LOC728393		LOC728393	
